"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"class"	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1
"Biomarker1"	5.66258486463476	5.01950718380852	6.89731017986536	6.05562573980953	7.6275330359725	4.86168686689735	4.82373629502851	5.45078614626591	6.50618646653003	3.78578816197867	3.95629539282027	4.59094005382419	3.98376252143354	0.838824870184492	2.91901075898099	3.62951414607722	5.13270876233112	4.66881784331003	3.6866350533512	4.5863394867224
"Biomarker2"	4.01564449855882	4.62641824668136	2.96670640082651	3.79597598768999	4.5677530953505	2.73378179912975	5.4206355275669	6.14794277889292	5.67488450852149	6.19118804307587	5.53257158525467	1.9384512810475	4.68652930474193	2.15120890216225	2.58860579215489	4.24686648866683	3.54974461892919	4.41405483646942	1.85630335747112	4.87534043834518
"Biomarker3"	4.37401220310157	4.78828541473494	5.62971394468236	5.11832996265866	4.97888885298308	4.60702406424714	6.52704317915452	6.54328893731427	5.53827593118859	8.42729473868157	3.99277936279357	3.09568362346977	6.5608924510751	6.51441317286359	7.14494067922782	5.55513133258557	5.94305039760072	4.62547519171397	5.60153526775112	6.52370572229439
"Biomarker4"	7.1496549058015	4.71236908995459	5.00646715562379	4.73603198357712	3.80894551837411	6.08745136612937	3.93372330735119	5.25038732880033	3.80486312841591	4.01733070188207	6.63475602719329	5.18062098674033	4.78164499195252	7.8824876308883	6.11974628115085	5.33237210455175	4.35192966375351	4.88274444716551	5.52551762492292	3.6016118662898
"Biomarker5"	5.66943951724551	6.35096925765815	2.81123498994879	5.17870603718484	4.15133864161012	4.99846336075501	5.84847163804047	4.75306785907728	4.18082559369863	4.73896268273836	5.10071778414657	2.4517033217338	2.23810866722166	2.87082811928682	4.32758035491346	5.19062820716919	4.04385668469906	3.77087943586295	3.45371304108552	2.84249865538569
"Biomarker6"	5.28874910383173	6.83146091912377	3.26840463264615	4.62269745415174	2.9157327648663	7.44389924925429	6.08914218381174	6.29619001209423	3.94127873743448	5.46623720640548	5.65326303869407	5.79186965378872	8.22729069999112	7.46058795412031	5.26677564110636	5.82276991974913	5.77053212471055	5.63545269047923	5.27824818428979	6.39767313349818
"Biomarker7"	4.76321252628581	3.85592777306955	5.20558561243773	4.56380062927177	4.44947054489005	6.25585799340021	4.59720822649054	3.74347781006332	4.33616335273087	6.19102342083286	5.6927032937414	4.54250820410553	2.83822406788396	3.36110922585667	4.18814191716762	5.11338677625442	2.5487535043001	4.67213348118263	4.59113240086322	5.43001015530745
"Biomarker8"	6.20855324590271	4.23818199048318	5.41795396501087	4.61285045510352	3.89989317787231	6.01862534900517	5.09892885751903	4.98870379278979	5.60545110988183	3.74318227246606	5.37601080971382	3.63027248790495	2.15099324834295	3.2654321033274	4.66404755666789	4.32260646623239	5.76399618759592	3.99552181372616	3.3705120629115	2.91918658201376
"Biomarker9"	5.13836887792155	5.92741893943567	4.1941966308888	1.88748026797259	4.53226740356013	4.06826881577589	3.99697720079096	5.77927792714144	3.68586046917185	5.02981951143644	5.86184285345348	6.22463571549983	6.51529334839658	6.42893982599449	5.48282992168721	5.50036221179352	5.0623002923522	7.51093319937036	5.88742992696061	4.64142777256577
"Biomarker10"	3.44014641561916	6.8739119228323	5.95117833194251	4.98565066070898	6.8508355515776	4.47442986230969	5.40359333702455	5.53923842923026	5.0480774510447	3.26782531988421	7.49541342585051	7.05235196612788	5.63453451823591	4.76859114490967	7.02072744599378	6.84051387940111	4.88976211433704	5.53968079733977	5.82093878057853	7.37226338803145
"Biomarker11"	5.23640475558566	4.72819549857022	4.64093267631781	4.78782989408091	3.27468053253699	4.91263107008119	6.12248231280664	4.5016046640444	5.5575715370412	5.20566605003186	3.9816126746196	7.12236345359251	6.5272152324904	6.60261123143348	4.02051829257383	6.53523620878391	5.78453843466496	6.28806848767123	4.98156874206799	5.82924914732682
"Biomarker12"	4.40777765417748	4.71373732605718	6.29466814165703	3.36753185663814	3.47473523624599	6.16722449204418	4.82774831494277	2.07400804626	3.98598880641478	5.34156531261861	3.97989395317339	5.23573547231802	5.2223240329199	3.15137728765503	5.77882753725538	4.27847767209053	3.75588916214695	4.47969458353636	4.33110585805288	4.8662196003639
"Biomarker13"	7.64419389214914	6.32363010813617	1.79911344379911	4.53153508943385	5.31128854330825	5.43179031093274	5.65329117467718	4.87061033273623	5.61666736754088	4.65139362646178	6.48812229915128	6.81737543106171	6.64589022154568	7.13399732914336	5.91449749835229	5.8148603531158	7.00069327417343	7.75360528183093	8.41453430330797	4.92491593793117
"Biomarker14"	2.73652448791285	3.57844704548358	4.61520394940356	4.41692035315589	4.89639043483589	3.5920864383104	5.61697027526901	4.6003802068894	6.55055969139812	4.04173225142428	3.18276115702799	4.14941884006942	3.36527899823137	5.99745491310026	4.10638051290829	2.26879156155175	3.79012624126184	4.1789199968306	2.9291203321705	4.49738234345574
"Biomarker15"	6.54098964971947	4.15384013422724	4.38587890506203	3.31388007990875	5.08498515796503	4.33815908669638	6.44600051453207	6.34589217656216	6.1747207279749	6.293388062437	3.78644988913309	5.39199393740646	6.22560355434433	6.98827174733467	7.39433754850233	6.71038029878393	7.66192164551305	4.66818922814163	5.26581673268643	5.9300779537085
"Biomarker16"	5.77763646651794	5.29040884909477	4.5470934162672	6.06431623866561	5.01431273588911	6.15529842265754	5.44982681412753	3.29156147868789	6.36168052850677	5.44779874509628	2.83328753101622	2.01291148777265	5.43946147334018	2.29783969469934	4.56869253404724	3.05809578298393	3.08445351002387	5.72879806322307	6.81137341405068	6.73709448528593
"Biomarker17"	6.68354156921674	4.23153201548549	4.65421409212053	7.02647029104437	5.81688826450191	6.6060770944461	5.02555533282234	4.6109530885674	5.09084081361816	6.3463939095015	2.79976735565276	3.76171982634269	3.19622129975893	2.13087478148944	3.9539198552893	4.83183036793102	3.3687447227698	3.45793196050231	4.33537834255511	3.4153138335102
"Biomarker18"	3.95312755167122	5.26020448870325	6.84071887093164	4.59979381465614	3.91398159816294	4.46591131595973	5.9065695003505	5.03904388060805	4.67202981155838	4.99696166306289	3.81904013766064	4.51408897260339	3.23480532611068	2.38699875136109	3.35695663278931	2.67305075674934	4.66363997111225	6.60946856199337	3.36506334431841	4.87729412614025
"Biomarker19"	3.9946308246589	5.19568508671813	3.98795296401048	4.87879793155842	3.63979451749113	3.67976590386593	4.37049727631766	3.36789167370756	7.14750631531803	3.08212572518892	5.5039361331312	1.94641303888547	5.30265278435204	4.00953672779216	5.96864909937407	2.89729234854567	4.48130566883767	4.70650411861733	4.41559504585118	5.86477046030399
"Biomarker20"	6.23047647134282	5.46018419673873	5.77178042584389	6.07415394065344	6.58240761074038	4.43132683777848	5.6784571637177	5.03006122591794	4.33313029337352	4.93917473239003	3.20942757155787	5.66561415670119	3.69396996824795	6.72375696691267	3.25967713688918	3.59337077602459	3.54255427143951	5.25018798518578	5.50858178824414	5.51806449959364
"Biomarker21"	6.28705616590818	1.99288756278213	5.19461837101074	4.13773821183294	5.21129416512913	4.77206330626388	4.65977340788398	4.5738048673335	5.69628492579121	6.15371449915541	5.41230731302866	5.52552290880832	6.61906504534041	8.18916875652928	5.62979019372954	6.73649378845711	5.24299634554873	3.87344096254129	6.02636072283995	6.68050516803457
"Biomarker22"	3.91178515506217	3.29561134275252	4.34910700755857	2.87411111499013	3.42813725899678	4.34165168080003	3.65205079985382	3.62871284127339	3.86584653054752	6.64408922161923	3.22535618864761	5.14045504328506	4.32642683841962	3.38483286596196	2.77586018766984	2.8039036960198	5.01226723151536	3.10034740884817	4.41951625627984	5.2818563049542
"Biomarker23"	5.22979536011684	5.6894580982268	3.72605294722305	5.45347693698003	2.89258471308776	5.42219113104911	4.02046596506709	5.56997250930935	7.40137553225995	4.75351209870167	1.81547564136242	4.55179893284034	3.58654136515408	4.19919585537825	3.21085423172204	5.10981942368824	4.94771981179522	2.31344419836832	3.75391353034011	6.39498586662528
"Biomarker24"	3.28955936183579	4.81293709212844	4.85856515046997	5.94024263350257	5.55443107143737	4.64501703741414	6.71192792389741	4.71812874914818	5.25212913548478	6.25260314975622	1.60606861284814	3.98683071396722	2.46980113667674	2.70086725212178	4.18031922405097	3.76140067562431	5.23396783522043	3.92342968295462	5.20065001795235	4.34554267910306
"Biomarker25"	3.79484387143908	5.07198399979852	5.59936901801902	7.40005728919155	5.74003253677195	5.12802615792215	7.74604111325201	6.24709701534975	5.07246787487124	4.46649290416292	5.13274809704052	5.22383766525787	5.94169067245695	5.28948684291072	7.0971000894945	6.80640055694219	6.42562803462002	6.05193999629519	8.01611850243425	5.84099590917353
"Biomarker26"	4.41231442457816	3.26977255125637	4.08682701135015	4.69435860160587	3.23821560780102	4.0375091758193	5.55456565011422	6.17907273222307	6.10630409120982	5.45971539425253	4.80465427946475	4.47932153265756	5.77496551284395	3.62058185331019	3.81370318960406	2.00181741651987	3.00472977069708	4.93025004402968	3.08490008308678	3.00582575343397
